,time,timeOfDay,skyBrightness
0,0,0.7845177968644247,0
1,1,0.7845610003093534,0
2,2,0.7846042017346703,0
3,3,0.7846474011401116,0
4,4,0.7846905985254127,0
5,5,0.7847337938903095,0
6,6,0.7847769872345377,0
7,7,0.7848201785578334,0
8,8,0.7848633678599323,0
9,9,0.7849065551405703,0
10,10,0.7849497403994836,0
11,11,0.7849929236364078,0
12,12,0.7850361048510793,0
13,13,0.785079284043234,0
14,14,0.7851224612126081,0
15,15,0.7851656363589377,0
16,16,0.7852088094819588,0
17,17,0.7852519805814078,0
18,18,0.785295149657021,0
19,19,0.7853383167085344,0
20,20,0.7853814817356845,0
21,21,0.7854246447382076,0
22,22,0.7854678057158401,0
23,23,0.7855109646683185,0
24,24,0.785554121595379,0
25,25,0.7855972764967581,0
26,26,0.7856404293721928,0
27,27,0.7856835802214192,0
28,28,0.7857267290441738,0
29,29,0.7857698758401938,0
30,30,0.785813020609215,0
31,31,0.7858561633509749,0
32,32,0.7858993040652096,0
33,33,0.7859424427516563,0
34,34,0.7859855794100516,0
35,35,0.7860287140401324,0
36,36,0.7860718466416357,0
37,37,0.7861149772142979,0
38,38,0.7861581057578563,0
39,39,0.786201232272048,0
40,40,0.78624435675661,0
41,41,0.7862874792112787,0
42,42,0.7863305996357921,0
43,43,0.7863737180298864,0
44,44,0.7864168343932997,0
45,45,0.7864599487257683,0
46,46,0.7865030610270299,0
47,47,0.7865461712968216,0
48,48,0.7865892795348809,0
49,49,0.7866323857409449,0
50,50,0.7866754899147508,0
51,51,0.7867185920560361,0
52,52,0.7867616921645385,0
53,53,0.7868047902399953,0
54,54,0.7868478862821439,0
55,55,0.7868909802907217,0
56,56,0.7869340722654665,0
57,57,0.7869771622061159,0
58,58,0.7870202501124076,0
59,59,0.7870633359840787,0
60,60,0.7871064198208675,0
61,61,0.7871495016225117,0
62,62,0.7871925813887488,0
63,63,0.7872356591193167,0
64,64,0.7872787348139534,0
65,65,0.7873218084723964,0
66,66,0.7873648800943839,0
67,67,0.787407949679654,0
68,68,0.7874510172279443,0
69,69,0.787494082738993,0
70,70,0.7875371462125381,0
71,71,0.7875802076483179,0
72,72,0.7876232670460702,0
73,73,0.7876663244055333,0
74,74,0.7877093797264454,0
75,75,0.7877524330085448,0
76,76,0.7877954842515694,0
77,77,0.787838533455258,0
78,78,0.7878815806193485,0
79,79,0.7879246257435796,0
80,80,0.7879676688276893,0
81,81,0.7880107098714166,0
82,82,0.7880537488744994,0
83,83,0.7880967858366766,0
84,84,0.7881398207576865,0
85,85,0.7881828536372678,0
86,86,0.788225884475159,0
87,87,0.7882689132710988,0
88,88,0.7883119400248262,0
89,89,0.7883549647360791,0
90,90,0.7883979874045971,0
91,91,0.7884410080301185,0
92,92,0.7884840266123824,0
93,93,0.7885270431511273,0
94,94,0.7885700576460923,0
95,95,0.7886130700970164,0
96,96,0.7886560805036386,0
97,97,0.7886990888656976,0
98,98,0.7887420951829326,0
99,99,0.7887850994550826,0
100,100,0.7888281016818869,0
101,101,0.7888711018630844,0
102,102,0.7889140999984142,0
103,103,0.788957096087616,0
104,104,0.7890000901304285,0
105,105,0.7890430821265911,0
106,106,0.7890860720758432,0
107,107,0.7891290599779243,0
108,108,0.7891720458325734,0
109,109,0.78921502963953,0
110,110,0.789258011398534,0
111,111,0.7893009911093243,0
112,112,0.7893439687716409,0
113,113,0.7893869443852228,0
114,114,0.7894299179498102,0
115,115,0.7894728894651424,0
116,116,0.789515858930959,0
117,117,0.7895588263469997,0
118,118,0.7896017917130044,0
119,119,0.789644755028713,0
120,120,0.7896877162938648,0
121,121,0.7897306755082,0
122,122,0.7897736326714583,0
123,123,0.7898165877833799,0
124,124,0.7898595408437044,0
125,125,0.789902491852172,0
126,126,0.7899454408085225,0
127,127,0.789988387712496,0
128,128,0.7900313325638327,0
129,129,0.7900742753622728,0
130,130,0.7901172161075563,0
131,131,0.7901601547994233,0
132,132,0.7902030914376142,0
133,133,0.790246026021869,0
134,134,0.7902889585519283,0
135,135,0.7903318890275323,0
136,136,0.7903748174484214,0
137,137,0.7904177438143357,0
138,138,0.7904606681250163,0
139,139,0.790503590380203,0
140,140,0.7905465105796367,0
141,141,0.7905894287230577,0
142,142,0.7906323448102067,0
143,143,0.7906752588408242,0
144,144,0.7907181708146512,0
145,145,0.7907610807314279,0
146,146,0.7908039885908953,0
147,147,0.7908468943927939,0
148,148,0.7908897981368649,0
149,149,0.7909326998228488,0
150,150,0.7909755994504865,0
151,151,0.7910184970195188,0
152,152,0.791061392529687,0
153,153,0.7911042859807317,0
154,154,0.791147177372394,0
155,155,0.791190066704415,0
156,156,0.7912329539765356,0
157,157,0.7912758391884971,0
158,158,0.7913187223400406,0
159,159,0.7913616034309072,0
160,160,0.791404482460838,0
